line_id,temperature,vibration,current,production_count,defect_count,cycle_time,pressure,humidity,failure_occurred,timestamp
LINE_02,201.4861317625747,0.13339084960034195,15.172278075005828,91,0,3.065402859518943,0.457363660687616,52.144610114979905,False,2025-10-30 15:21:24.655525
LINE_03,219.715766018335,0.46040777380748327,23.50375316400443,84,1,2.836416143729022,0.5450010472789258,59.0111104220207,False,2025-10-30 15:31:24.655525
LINE_01,279.864317619498,0.8195233906223529,34.06978887258904,55,5,4.118142561351542,0.3777215825978201,77.05184468026994,True,2025-10-30 15:41:24.655525
LINE_01,218.88483046343939,0.34433102442563057,20.199704176867698,97,2,3.20226316525288,0.49835866706127663,46.98270024936417,False,2025-10-30 15:51:24.655525
LINE_01,188.63583256399448,0.46050801547131726,22.698433838141582,114,2,3.068717946451467,0.4930953964584327,56.93549185042438,False,2025-10-30 16:01:24.655525
LINE_01,202.98208670391432,0.4059123557017922,24.851805103415657,114,0,3.095117101679569,0.5059019952171616,52.039045495494456,False,2025-10-30 16:11:24.655525
LINE_03,223.13517531663365,0.7587445083601179,26.62770172211907,76,3,3.255569016656973,0.4495061248191245,59.8134236342732,True,2025-10-30 16:21:24.655525
LINE_03,215.57879573920468,0.15756244398442348,17.877369718549787,90,1,2.9103847856343092,0.4765918760859931,50.987274504885725,False,2025-10-30 16:31:24.655525
LINE_03,218.1654324460282,0.283276754496153,23.146984611230103,103,1,3.0259180798938625,0.506719645825375,49.114849878063396,False,2025-10-30 16:41:24.655525
LINE_02,208.87088386088894,0.19003201964625144,16.405927795494545,89,0,3.228058868027763,0.4831027873385981,59.04541925298317,False,2025-10-30 16:51:24.655525
LINE_02,228.76496937839562,0.7637123294697981,25.238539967647046,73,5,3.3522645794475303,0.44331854375723945,63.45511830737987,True,2025-10-30 17:01:24.655525
LINE_02,273.78756736735113,1.0411715336351357,29.679396022136377,62,6,4.219916224334625,0.4181260767150995,79.70079421386635,True,2025-10-30 17:11:24.655525
LINE_03,180.05254716352394,0.23783667698774708,22.80314074969724,108,1,2.839086606699575,0.4743351913572386,52.45125972919867,False,2025-10-30 17:21:24.655525
